video_id,kelompok,comment_id,author,teks_asli,teks_bersih,jumlah_kata,jumlah_like,published_at,sentimen,confidence_score
ndzTvwrgtQA,GREEN_SM,UgzLV7CCoEftJPLBv7l4AaABAg,@Fufufafa207,Taxi hijau tsb sudah berulang kali tertabrak kereta. Mungkin perusahaan tsb bisa di tindak,Taxi hijau tsb sudah berulang kali tertabrak kereta. Mungkin perusahaan tsb bisa di tindak,14,13,2026-04-28T08:52:16Z,NEGATIF,0.5146
ndzTvwrgtQA,GREEN_SM,Ugyxc4zEAAV1Ow7_G4h4AaABAg,@Kasnap-d7y,Tangkap pelaku mobil dan periksa serta perusahaanya untuk bertanggung jawab.,Tangkap pelaku mobil dan periksa serta perusahaanya untuk bertanggung jawab.,10,12,2026-04-28T08:23:57Z,NETRAL,0.9343
ndzTvwrgtQA,GREEN_SM,UgzZkb4FkwiChp1adOF4AaABAg,@AndiHarsanto-j4c,Proses hukum udah menjadi penyebab hilang nya banyak nyawa,Proses hukum udah menjadi penyebab hilang nya banyak nyawa,9,7,2026-04-28T08:48:46Z,NEGATIF,0.9843
ndzTvwrgtQA,GREEN_SM,Ugz25Cjtq9HAhAbKNqZ4AaABAg,@JojonSuherdy-b3c,"Gren SM sering ugal""lan dijalan...maka.nya sering terjadi kecelakaan..",Gren SM sering ugal lan dijalan...maka.nya sering terjadi kecelakaan..,9,7,2026-04-28T08:49:13Z,NEGATIF,0.9931
ndzTvwrgtQA,GREEN_SM,UgwJdQRvcnLKnQHIX0J4AaABAg,@yekdayat4622,Rata2 supir taxi ini pala batu,Rata2 supir taxi ini pala batu,6,11,2026-04-28T08:14:30Z,NEGATIF,0.9867
ndzTvwrgtQA,GREEN_SM,Ugwakydi7vaVu5yG4Yp4AaABAg,@ajengpramastuty9459,"Yes bener, gw sebel banget ketemu ni Taksi Hijau dijalan, terkenal ugal2an soalnya, baru pada pegang mobil listrik supirnya, pada norak, nyetir ga ada otak, gw sering hampir keserempet ni Taksi","Yes bener, gw sebel banget ketemu ni Taksi Hijau dijalan, terkenal ugal2an soalnya, baru pada pegang mobil listrik supirnya, pada norak, nyetir ga ada otak, gw sering hampir keserempet ni Taksi",31,6,2026-04-28T08:38:10Z,NEGATIF,0.9954
ndzTvwrgtQA,GREEN_SM,UgwIkwsea6ZL5YnT3gV4AaABAg,@kenz6382,Usut tuntas akibat kelalain 1 orang bikin banyak orang meninggal.,Usut tuntas akibat kelalain 1 orang bikin banyak orang meninggal.,10,4,2026-04-28T08:53:34Z,NEGATIF,0.9837
ndzTvwrgtQA,GREEN_SM,UgwXB48DGaQhpCfOFoF4AaABAg,@elinherliani6547,Harus dihukum sih supir taxi yg nerobos,Harus dihukum sih supir taxi yg nerobos,7,4,2026-04-28T08:54:38Z,NEGATIF,0.9962
ndzTvwrgtQA,GREEN_SM,UgyniXEGkfPT92v8fS54AaABAg,@PakdeBluluk-u8c,"tuntut taksi green,managemant klu perlu ditindak tegas kurang adanya pengawasan,terutama etika dari sopir,,,,utk sopir disanksi tegas","tuntut taksi green,managemant klu perlu ditindak tegas kurang adanya pengawasan,terutama etika dari sopir,,,,utk sopir disanksi tegas",16,11,2026-04-28T08:09:55Z,NEGATIF,0.5757
ndzTvwrgtQA,GREEN_SM,UgxT014E3yENtRQo6ip4AaABAg,@Edirahadi-m3o,"Green taxi layak kalo memperbarui rekrutmen supir²nya.
Hrs melalui test pysiater..jngn² bnyk supir yg pysikopat..",Green taxi layak kalo memperbarui rekrutmen supir²nya. Hrs melalui test pysiater..jngn² bnyk supir yg pysikopat..,15,8,2026-04-28T08:28:54Z,NETRAL,0.572
