video_id,kelompok,comment_id,author,teks_asli,teks_bersih,jumlah_like,sentimen,confidence_score,sentimen_manual,catatan_validator
GHQo30fnKk8,GREEN_SM,UgyNW2TcSGxHb5O-eFR4AaABAg,@horascool,"Nahhh ini yg gw maksud..

Di pernyataan manajemen green SM 1 kata pun gk ada kalimat permintaan maaf, pdhl driver taxi nya lahh penyebab awal terjadinya kecelakaan tsb","Nahhh ini yg gw maksud.. Di pernyataan manajemen green SM 1 kata pun gk ada kalimat permintaan maaf, pdhl driver taxi nya lahh penyebab awal terjadinya kecelakaan tsb",0,NEGATIF,0.9622,,
GHQo30fnKk8,GREEN_SM,Ugzw7HZ_uST_swhGTr94AaABAg,@ruangrenunganhati,"PT KAI tidak perlu minta maaf, tapi kedepannya agar di buat sistem otomatis, kalau ada kereta di depan tabrakan atau mogok maka semua jalur mati total sehingga kereta di belakang tidak bisa melaju","PT KAI tidak perlu minta maaf, tapi kedepannya agar di buat sistem otomatis, kalau ada kereta di depan tabrakan atau mogok maka semua jalur mati total sehingga kereta di belakang tidak bisa melaju",2,NEGATIF,0.939,,
MmXNLPs155U,GREEN_SM,UgxayLqw12Y4iuWzo6R4AaABAg,@UmayQiana-xp5uw,Gara gara Luh IJO.   Jadi banyak Korban Jiwa.,Gara gara Luh IJO. Jadi banyak Korban Jiwa.,0,NEGATIF,0.9952,,
E8q-DQGgukw,GREEN_SM,Ugxb4XKLlJmj_UX7Iy14AaABAg,@tommyshiendy6778,Akibat peraturan baru green sm yang memerah driver Dan tarif murah green eco. Tarif udah kayak ngantar penumpang pakai sepeda roda tiga.,Akibat peraturan baru green sm yang memerah driver Dan tarif murah green eco. Tarif udah kayak ngantar penumpang pakai sepeda roda tiga.,0,NEGATIF,0.9709,,
ndzTvwrgtQA,GREEN_SM,UgzLV7CCoEftJPLBv7l4AaABAg,@Fufufafa207,Taxi hijau tsb sudah berulang kali tertabrak kereta. Mungkin perusahaan tsb bisa di tindak,Taxi hijau tsb sudah berulang kali tertabrak kereta. Mungkin perusahaan tsb bisa di tindak,13,NEGATIF,0.5146,,
GHQo30fnKk8,GREEN_SM,Ugw4441RGCSrIfR7kd54AaABAg,@jokolelono3979,Harus diusut tuntas ini.. biar jelas siapa yg salah,Harus diusut tuntas ini.. biar jelas siapa yg salah,0,NEGATIF,0.9829,,
GHQo30fnKk8,GREEN_SM,UgwEVz5M-FutIBQjKRR4AaABAg,@AriGunawan-s1j,Blacklist taxi nya dan tutup perusahaan yg cuma mau untung saja,Blacklist taxi nya dan tutup perusahaan yg cuma mau untung saja,0,NEGATIF,0.9908,,
E8q-DQGgukw,GREEN_SM,UgzpUo09wbfS0g7QuWJ4AaABAg,@budisantoso5379,Taksi ijo hanya satu penyebab... Tetapi yang terparah bagaimana kelalaian petugas di stasiun yang mengijinkan kereta agro bromo memasuki jalur yang sama dengan KRL berhenti...,Taksi ijo hanya satu penyebab... Tetapi yang terparah bagaimana kelalaian petugas di stasiun yang mengijinkan kereta agro bromo memasuki jalur yang sama dengan KRL berhenti...,5,NEGATIF,0.9889,,
ndzTvwrgtQA,GREEN_SM,Ugxtn4DmTDLOpmkRmEZ4AaABAg,@CrankMaster,"Kesalahan paling besar ada di pihak KAI. Kejadian mobil ditabrak kereta pastinya sering kejadian. kalo udah begitu, semua kereta di jalur tersebut pasti berhenti/tertahan selama beberapa waktu. Tapi apa sering kejadian ada kereta berhenti, terus disundul sama kereta dibelakangnya? Ngga kan. Nah kemarin itu pastinya ada kelalaian dari personil persinyalan atau dari masinis kereta yang terlibat kecelakaan. Tinggal tunggu investigasi KNKT aja, nanti pasti ada yang jadi tersangka dari pihak KAI.","Kesalahan paling besar ada di pihak KAI. Kejadian mobil ditabrak kereta pastinya sering kejadian. kalo udah begitu, semua kereta di jalur tersebut pasti berhenti tertahan selama beberapa waktu. Tapi apa sering kejadian ada kereta berhenti, terus disundul sama kereta dibelakangnya? Ngga kan. Nah kemarin itu pastinya ada kelalaian dari personil persinyalan atau dari masinis kereta yang terlibat kecelakaan. Tinggal tunggu investigasi KNKT aja, nanti pasti ada yang jadi tersangka dari pihak KAI.",1,NEGATIF,0.9816,,
GHQo30fnKk8,GREEN_SM,UgxYlPtVF6CFf7aGYyl4AaABAg,@anakkalong,Perusahaan taxi green sm harus ganti rugi korban nyawa dan korban !!!,Perusahaan taxi green sm harus ganti rugi korban nyawa dan korban !!!,0,NETRAL,0.7677,,
E8q-DQGgukw,GREEN_SM,UgxHRH-2yroA4GfXSJh4AaABAg,@momo123-b8u,"SOPIR WAJIB GANTI RUGI , NYAWA GANTI NYAWA","SOPIR WAJIB GANTI RUGI , NYAWA GANTI NYAWA",1,NETRAL,0.8989,,
GHQo30fnKk8,GREEN_SM,UgwcxnMRQDDKNphRbv14AaABAg,@dyahsari505,"KAI pelayanan publik nya terbaik...❤ penumpang betul2 di utamakan... segera pulih kereta api kita, dan semoga korban yg sakit segera sehat dan berkumpul dgn kluarga kembali, serta yg meninggal semoga husnul khtimah❤... jangan trauma ya naik kereta....","KAI pelayanan publik nya terbaik... penumpang betul2 di utamakan... segera pulih kereta api kita, dan semoga korban yg sakit segera sehat dan berkumpul dgn kluarga kembali, serta yg meninggal semoga husnul khtimah ... jangan trauma ya naik kereta....",1,POSITIF,0.9921,,
LI3iOP-9VCc,KAI_KRL,Ugx7SY-Ij-qj5itXObV4AaABAg,@cowoganteng3776,"Bukan taxi tapi MMG KAI nya yg tidak koordinasi DG baik ,karena beda jalur antara kecelakaan kereta api 1 DG kereta api 2,ini hanya kambing hitam kai saja ,jadi MMG KAI harus dirombak di samping MMG taksi hijau harus di tertibkan juga ,juga ganti rugi kereta api 1 yg tabrak taksi ,tapi korban Argo Bromo adalah tanggung jawab KAI bukan operator taxi Karena itu terjadi di rel 2.","Bukan taxi tapi MMG KAI nya yg tidak koordinasi DG baik ,karena beda jalur antara kecelakaan kereta api 1 DG kereta api 2,ini hanya kambing hitam kai saja ,jadi MMG KAI harus dirombak di samping MMG taksi hijau harus di tertibkan juga ,juga ganti rugi kereta api 1 yg tabrak taksi ,tapi korban Argo Bromo adalah tanggung jawab KAI bukan operator taxi Karena itu terjadi di rel 2.",0,NEGATIF,0.9711,,
kL5paxuuYdA,KAI_KRL,UgxIoipumYoRRzprxMx4AaABAg,@GugusSambodo,LAGI2 TAKSI IJO BIKIN MASALAH,LAGI2 TAKSI IJO BIKIN MASALAH,0,NEGATIF,0.9944,,
LI3iOP-9VCc,KAI_KRL,UgzRREEOEGlsXLNSkv54AaABAg,@herikiswadi6882,"Koordinasi kurang tidak sesuai SOP, pasca kejadian kecelakaan tidak segera mengamankan jalur","Koordinasi kurang tidak sesuai SOP, pasca kejadian kecelakaan tidak segera mengamankan jalur",0,NEGATIF,0.9428,,
LI3iOP-9VCc,KAI_KRL,Ugz0O_IWaAmS3tbmoyd4AaABAg,@Nieltan08,"Terlalu mengandalkan teknologi, hingga lupa kalau ada beberapa faktor yg membuat teknologi menjadi error.

Jeda waktu KRL dan Argo berapa lama ? 

Jadi pelajaran kalau satu kejadian harus ""cerdas"" dalam mengambil keputusan","Terlalu mengandalkan teknologi, hingga lupa kalau ada beberapa faktor yg membuat teknologi menjadi error. Jeda waktu KRL dan Argo berapa lama ? Jadi pelajaran kalau satu kejadian harus cerdas dalam mengambil keputusan",0,NEGATIF,0.9783,,
kL5paxuuYdA,KAI_KRL,UgxlHfwwEFK84emj5Bp4AaABAg,@herrysetiadi7265,Supir taksi ijonya mana? Itu juga tanpa palang pintu kai kan? Tpi ada yg jaga kenapa tuh taksi bisa nyelonong?,Supir taksi ijonya mana? Itu juga tanpa palang pintu kai kan? Tpi ada yg jaga kenapa tuh taksi bisa nyelonong?,0,NEGATIF,0.9967,,
x-7fjnb-aGo,KAI_KRL,UgzDUpIQxwDzU2DzIxV4AaABAg,@ichayosephine1121,"Rencana Alloh mari kita introspeksi dgn kejadian ini, supaya tidak terulang lagi","Rencana Alloh mari kita introspeksi dgn kejadian ini, supaya tidak terulang lagi",0,NEGATIF,0.7208,,
LI3iOP-9VCc,KAI_KRL,UgydVZzlk2QvY-N6CpF4AaABAg,@GianJlntaputra-jy3gy,"Jangan menyalakan taxi, busset Luh, nyawa org Bu...kira boneka ya, ada asuransi k tidak, yang salah sistem nya KAI ibu. Tdk usa baku menyalakan taxi😮","Jangan menyalakan taxi, busset Luh, nyawa org Bu...kira boneka ya, ada asuransi k tidak, yang salah sistem nya KAI ibu. Tdk usa baku menyalakan taxi",1,NEGATIF,0.9798,,
